Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1982,126.00,129.00,61.00,88.00,65.00,48.00,65.00,11.00,168.00,80.00,80.00,45.00
1983,139.00,80.00,63.00,92.00,66.00,37.00,0.00,54.00,65.00,118.00,112.00,99.00
1984,118.00,412.00,57.00,71.00,79.00,42.00,18.00,4.00,83.00,254.00,77.00,80.00
1985,65.00,59.00,82.00,148.00,29.00,11.00,82.00,23.00,53.00,203.00,194.00,95.00
1986,122.00,30.00,39.00,201.00,54.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00
1987,127.00,160.00,199.00,80.00,15.00,0.00,112.00,26.00,36.00,93.00,187.00,93.00
1988,32.00,44.00,429.00,23.00,0.00,20.00,21.00,0.00,42.00,85.00,84.00,38.00
1989,23.00,144.00,160.00,188.00,20.00,56.00,43.00,131.00,16.00,57.00,50.00,139.00
1990,119.00,97.00,110.00,162.00,48.00,0.00,28.00,20.00,75.00,109.00,164.00,94.00
1991,114.00,115.00,84.00,133.00,118.00,48.00,66.00,65.00,7.00,206.00,67.00,202.00
1992,115.00,45.00,57.00,121.00,21.00,201.00,22.00,55.00,68.00,99.00,73.00,58.00
1993,155.00,0.00,190.00,170.00,199.00,136.00,19.00,39.00,52.00,315.00,172.00,161.00
1994,92.00,12.00,43.00,141.00,82.00,32.00,26.00,27.00,23.00,140.00,14.00,88.00
1995,35.00,67.00,117.00,208.00,14.00,16.00,0.00,0.00,32.00,198.00,138.00,42.00
1996,43.00,147.00,26.00,93.00,47.00,16.00,17.00,36.00,80.00,47.00,196.00,155.00
1997,177.00,53.00,18.00,77.00,0.00,68.00,23.00,132.00,20.00,197.00,165.00,180.00
1998,148.00,100.00,127.00,51.00,46.00,15.00,30.00,7.00,18.00,49.00,78.00,132.00
1999,141.00,204.00,204.00,109.00,25.00,20.00,22.00,56.00,59.00,26.00,50.00,48.00
2000,25.00,147.00,28.00,239.00,235.00,102.00,13.00,62.00,157.00,143.00,106.00,66.00
2001,246.00,108.00,246.00,49.00,91.00,55.00,10.00,206.00,57.00,203.00,152.00,117.00
2002,114.00,29.00,186.00,162.00,370.00,5.00,29.00,102.00,15.00,78.00,175.00,166.00
2003,110.00,207.00,151.00,97.00,36.00,16.00,74.00,8.00,41.00,32.00,125.00,136.00
2004,148.00,80.00,57.00,168.00,59.00,14.00,38.00,47.00,16.00,61.00,121.00,244.00
2005,109.00,27.00,119.00,79.00,7.00,54.00,57.00,76.00,64.00,35.00,152.00,29.00
2006,303.00,90.00,81.00,87.00,5.00,50.00,20.00,2.00,20.00,196.00,96.00,187.00
2007,111.00,197.00,345.00,238.00,56.00,30.00,6.00,27.00,107.00,168.00,30.00,27.00
2008,74.00,84.00,127.00,5.00,1.00,23.00,13.00,14.00,30.00,113.00,108.00,20.00
2009,25.00,240.00,73.00,47.00,34.00,15.00,215.00,5.00,145.00,151.00,187.00,296.00
2010,176.00,290.00,140.00,71.00,124.00,28.00,94.00,12.00,92.00,59.00,66.00,49.00
2011,188.00,126.00,70.00,89.00,38.00,80.00,49.00,16.00,20.00,82.00,53.00,20.00
2012,63.00,214.00,153.00,31.00,165.00,3.00,20.00,227.00,99.00,303.00,90.00,198.00
2013,64.00,52.00,90.00,67.00,117.00,7.00,35.00,10.00,91.00,36.00,143.00,89.00
2014,227.00,257.00,140.00,246.00,112.00,28.00,60.00,9.00,88.00,135.00,182.00,124.00
2015,223.00,41.20,29.00,139.00,75.00,58.00,68.00,352.00,54.00,123.00,177.00,63.00
2016,43.00,174.00,61.00,285.00,7.50,46.00,120.00,37.00,40.00,117.00,103.00,144.00
2017,166.00,164.00,81.00,171.00,129.00,3.00,58.00,82.00,153.00,93.00,41.00,52.00
2018,64.00,44.00,36.00,270.00,349.00,2.00,66.00,71.00,195.00,73.00,184.00,189.00
2019,190.00,150.00,96.00,2.00,56.00,130.00,21.00,23.00,17.00,86.00,63.00,34.00
2020,79.50,79.50,117.25,117.00,1.50,29.25,7.00,14.75,100.50,84.95,38.25,43.25
2021,107.00,23.25,147.00,57.00,64.25,2.50,35.00,25.00,96.75,27.75,79.25,4.25
2022,98.50,123.00,69.25,21.75,7.75,0.25,18.50,4.50,1.75,15.75,13.50,82.25
