fecha,tmax (°C) ,tmin (°C) ,prcp (mm),hr media (%),dirección viento máximo,velocidad de viento máximo (m/s) ,viento medio (m/s)
1/1/1984,27,19.2,0,79,7,10.3,9.3
1/2/1984,27.2,20,38,89,23,12.9,2.6
1/3/1984,26.9,20,0.6,87,16,10.3,5.3
1/4/1984,27.2,19.4,0,83,5,8.2,3.4
1/5/1984,31,20.3,0,73,36,5.1,1.7
1/6/1984,32.8,22.9,0.6,81,9,10.3,3.1
1/7/1984,31.2,25,0,77,23,7.7,4.3
1/8/1984,28.5,20,0,73,9,10.3,6.9
1/9/1984,31.7,21,6,81,14,7.2,0.9
1/10/1984,26.5,18.1,0,57,9,10.3,4.6
1/11/1984,28.2,16.3,0,71,5,8.7,4.5
1/12/1984,25,22.5,12.4,94,5,9.3,2.6
1/13/1984,30.1,20.1,0,69,25,7.7,4.5
1/14/1984,31.9,16,0,55,29,8.2,2.1
1/15/1984,28.7,16,19,78,9,10.3,6
1/16/1984,32,17.8,0,78,20,15.4,3.1
1/17/1984,31.6,19,0,74,5,5.1,0
1/18/1984,33.5,18.8,11,72,36,7.2,3.1
1/19/1984,28.7,18.6,0,71,14,11.3,7.9
1/20/1984,26.5,12,0,69,9,12.3,3.4
1/21/1984,25.5,13,0,71,9,8.2,3.4
1/22/1984,26.9,18,0,71,2,8.2,4.6
1/23/1984,29,20.2,0,66,9,9.8,4.1
1/24/1984,29.8,20.5,0,78,9,10.3,6.2
1/25/1984,30,20.4,14.4,83,2,15.4,4.1
1/26/1984,25.5,20.4,45.2,86,36,9.3,2.4
1/27/1984,29.1,20.4,0.3,79,23,9.8,4.8
1/28/1984,33.9,17,32,68,2,20.6,8.9
1/29/1984,30,17.5,17,74,32,8.2,0
1/30/1984,25.4,17.4,0,89,29,8.2,3.6
1/31/1984,29.2,14.7,0,73,32,6.2,2.1
2/1/1984,27,15.6,0,77,5,8.2,4.5
2/2/1984,30.4,19.8,1.5,74,34,6.7,4.1
2/3/1984,27.7,19.5,0,87,16,8.2,6.7
2/4/1984,24.8,19,3.7,77,23,14.4,4.8
2/5/1984,22.8,13.2,0,65,25,10.3,6
2/6/1984,26.2,11.5,0,49,23,14.4,5.8
2/7/1984,27.3,15.6,0,60,34,9.3,4.5
2/8/1984,26.6,18,0,70,36,8.7,3.9
2/9/1984,30.8,16,0,69,2,6.2,3.8
2/10/1984,26.2,22.5,17.2,88,2,23.2,6.9
2/11/1984,27.6,21.4,2,88,0,0,0
2/12/1984,25.5,19.3,35,91,9,6.7,4.5
2/13/1984,27,22.3,0,90,29,5.1,2.6
2/14/1984,29.5,19,0,73,27,11.3,6.2
2/15/1984,30.4,18.7,0,77,5,6.2,2.2
2/16/1984,28,20,0,82,9,9.3,6.3
2/17/1984,29.2,22,0,83,5,10.8,5.7
2/18/1984,29.1,22.8,0,91,7,7.2,4.8
2/19/1984,25.6,22.8,12.5,94,5,7.2,4.1
2/20/1984,29.7,22,0,86,5,7.2,0
2/21/1984,30.2,20.1,0,90,5,7.7,1.7
2/22/1984,29.5,22,0,85,9,7.7,3.4
2/23/1984,27,18.9,18.7,84,9,15.4,9.8
2/24/1984,25.2,19.8,0,86,23,11.3,4.1
2/25/1984,27,17.5,50,86,20,20.6,5.7
2/26/1984,26.5,17.8,0,74,23,7.7,1.7
2/27/1984,26.6,16,48,84,5,9.3,4.6
2/28/1984,24,20,71,94,11,7.7,0
2/29/1984,26.4,15,0,69,14,5.1,0
3/1/1984,28,16.5,0,70,32,5.1,1.7
3/2/1984,27,15.5,0,77,9,8.2,5.5
3/3/1984,26.9,19,0,78,2,7.7,4.6
3/4/1984,29,20,0,71,36,1.5,0
3/5/1984,30.6,16.6,0,82,11,8.2,3.4
3/6/1984,31.5,19.4,8,75,25,20.6,3.1
3/7/1984,27,19,0,80,14,10.3,3.4
3/8/1984,26.7,22,1,83,23,9.3,4.3
3/9/1984,25.5,18.5,0.5,82,20,9.3,6.5
3/10/1984,23.5,16.4,0,82,14,9.3,2.4
3/11/1984,24.9,13.3,0,77,9,7.2,3.9
3/12/1984,25,15,0,74,9,9.3,4.3
3/13/1984,23,16.5,18,73,2,7.7,4.6
3/14/1984,27.2,16.7,15.5,87,0,0,0
3/15/1984,21.7,19.5,74,97,16,9.3,1.7
