date,daily_p
01/01/00,0
01/02/00,0
01/03/00,0
01/04/00,0
01/05/00,3
01/06/00,0
01/07/00,13
01/08/00,5
01/09/00,0
01/10/00,
01/11/00,8
01/12/00,2
01/13/00,0
01/14/00,0
01/15/00,0.3
01/16/00,3
01/17/00,0
01/18/00,0
01/19/00,0
01/20/00,7
01/21/00,31.3
01/22/00,0
01/23/00,0
01/24/00,2
01/25/00,0
01/26/00,
01/27/00,0
01/28/00,
01/29/00,0
01/30/00,
01/31/00,0
02/01/00,9
02/02/00,13
02/03/00,0
02/04/00,0
02/05/00,11
02/06/00,7
02/07/00,8
02/08/00,1
02/09/00,7
02/10/00,51
02/11/00,16
02/12/00,55
02/13/00,0
02/14/00,0
02/15/00,0
02/16/00,0
02/17/00,0
02/18/00,0
02/19/00,0
02/20/00,15
02/21/00,0
02/22/00,0
02/23/00,1
02/24/00,0
02/25/00,1
02/26/00,5
02/27/00,17
02/28/00,0
02/29/00,0
03/01/00,0
03/02/00,0
03/03/00,0
03/04/00,0
03/05/00,0
03/06/00,0
03/07/00,0
03/08/00,0
03/09/00,2
03/10/00,1
03/11/00,
03/12/00,0
03/13/00,2
03/14/00,0
03/15/00,0
03/16/00,0
03/17/00,0
03/18/00,0
03/19/00,0
03/20/00,4
03/21/00,0
03/22/00,0
03/23/00,33
03/24/00,0
03/25/00,0
03/26/00,37
03/27/00,9
03/28/00,0
03/29/00,0
03/30/00,0
03/31/00,0
04/01/00,0
04/02/00,0
04/03/00,0
04/04/00,0.3
04/05/00,0
04/06/00,0
04/07/00,32
04/08/00,0
04/09/00,
04/10/00,0
04/11/00,
04/12/00,0
04/13/00,0
04/14/00,0
04/15/00,
04/16/00,
04/17/00,0
04/18/00,0
04/19/00,0
04/20/00,0
04/21/00,0
04/22/00,0
04/23/00,0
04/24/00,0
04/25/00,0
04/26/00,0
04/27/00,3
04/28/00,6
04/29/00,10
04/30/00,0
05/01/00,27
05/02/00,0
05/03/00,4
05/04/00,1
05/05/00,2
05/06/00,0.5
05/07/00,0.3
05/08/00,0
05/09/00,0
05/10/00,0
05/11/00,0
05/12/00,0
05/13/00,
05/14/00,
05/15/00,
05/16/00,0
05/17/00,0
05/18/00,0
05/19/00,0.7
05/20/00,0
05/21/00,0
05/22/00,0
05/23/00,0
05/24/00,4
05/25/00,0
05/26/00,0
05/27/00,
05/28/00,0
05/29/00,5
05/30/00,4
05/31/00,0.6
06/01/00,0
06/02/00,0
06/03/00,0
06/04/00,0
06/05/00,4
06/06/00,0
06/07/00,0
06/08/00,0
06/09/00,
06/10/00,8
06/11/00,0
06/12/00,0.6
06/13/00,0
06/14/00,4
06/15/00,15
06/16/00,10
06/17/00,0
06/18/00,8
06/19/00,24
06/20/00,
06/21/00,0
06/22/00,0
06/23/00,0
06/24/00,47
06/25/00,0.5
06/26/00,0
06/27/00,0.8
06/28/00,0
06/29/00,0
06/30/00,0
07/01/00,
07/02/00,0
07/03/00,0
07/04/00,0
07/05/00,0
07/06/00,0
07/07/00,11
07/08/00,9
07/09/00,0
07/10/00,0
07/11/00,0.5
07/12/00,0.3
07/13/00,0
07/14/00,0
07/15/00,9
07/16/00,0.8
07/17/00,
07/18/00,0.8
07/19/00,0.1
07/20/00,0.7
07/21/00,0.8
07/22/00,
07/23/00,0
07/24/00,0
07/25/00,0
07/26/00,0
07/27/00,0
07/28/00,0
07/29/00,0
07/30/00,0
07/31/00,0
08/01/00,0
08/02/00,0
08/03/00,0
08/04/00,2
08/05/00,0
08/06/00,0
08/07/00,0
08/08/00,0.3
08/09/00,0
08/10/00,0.5
08/11/00,
08/12/00,0
08/13/00,0
08/14/00,0
08/15/00,0
08/16/00,1
08/17/00,0
08/18/00,0
08/19/00,0
08/20/00,0
08/21/00,25
08/22/00,13
08/23/00,0
08/24/00,4
08/25/00,3
08/26/00,0
08/27/00,6
08/28/00,0.6
08/29/00,0
08/30/00,40
08/31/00,0.8
09/01/00,0
09/02/00,0
09/03/00,0
09/04/00,0
09/05/00,0
09/06/00,17
09/07/00,
09/08/00,13
09/09/00,0.9
09/10/00,25
09/11/00,0
09/12/00,0.6
09/13/00,0.2
09/14/00,0
09/15/00,0
09/16/00,0
09/17/00,0
09/18/00,
09/19/00,4
09/20/00,10
09/21/00,0.7
09/22/00,7
09/23/00,0
09/24/00,0.6
09/25/00,0
09/26/00,0
09/27/00,0
09/28/00,0
09/29/00,0
09/30/00,0
10/01/00,0
10/02/00,0
10/03/00,16
10/04/00,3
10/05/00,0.8
10/06/00,
10/07/00,0
10/08/00,3
10/09/00,4
10/10/00,0
10/11/00,0
10/12/00,0
10/13/00,
10/14/00,0
10/15/00,6
10/16/00,9
10/17/00,0
10/18/00,0
10/19/00,0
10/20/00,0
10/21/00,14
10/22/00,0
10/23/00,0
10/24/00,0
10/25/00,0
10/26/00,13
10/27/00,
10/28/00,0
10/29/00,0
10/30/00,0
10/31/00,0
11/01/00,
11/02/00,0
11/03/00,
11/04/00,32
11/05/00,29
11/06/00,
11/07/00,0
11/08/00,
11/09/00,0
11/10/00,
11/11/00,
11/12/00,1
11/13/00,0
11/14/00,1
11/15/00,0
11/16/00,0
11/17/00,0
11/18/00,0
11/19/00,0
11/20/00,0
11/21/00,22
11/22/00,0
11/23/00,2
11/24/00,0
11/25/00,
11/26/00,22
11/27/00,0
11/28/00,
11/29/00,
11/30/00,0
12/01/00,0
12/02/00,0
12/03/00,0
12/04/00,
12/05/00,0
12/06/00,0
12/07/00,
12/08/00,
12/09/00,0
12/10/00,
12/11/00,0
12/12/00,0
12/13/00,9
12/14/00,0
12/15/00,2
12/16/00,0
12/17/00,0
12/18/00,0
12/19/00,0
12/20/00,
12/21/00,0
12/22/00,7
12/23/00,0
12/24/00,0
12/25/00,8
12/26/00,6
12/27/00,0
12/28/00,0
12/29/00,0
12/30/00,0
12/31/00,0
01/01/01,0
01/02/01,0
01/03/01,0
01/04/01,0
01/05/01,48
01/06/01,0
01/07/01,9
01/08/01,0.8
01/09/01,22
01/10/01,0.6
01/11/01,0
01/12/01,0
01/13/01,0
01/14/01,0
01/15/01,0
01/16/01,0
01/17/01,8
01/18/01,0.2
01/19/01,0
01/20/01,0
01/21/01,0
01/22/01,15
01/23/01,0
01/24/01,0
01/25/01,0
01/26/01,15
01/27/01,21
01/28/01,0
01/29/01,0
01/30/01,0
01/31/01,3
02/01/01,0
02/02/01,8
02/03/01,0
02/04/01,0
02/05/01,0
02/06/01,0
02/07/01,0
02/08/01,5
02/09/01,18
02/10/01,0
02/11/01,0
02/12/01,0
02/13/01,0
02/14/01,0
02/15/01,0
02/16/01,0
02/17/01,0
02/18/01,0
02/19/01,0
02/20/01,0
02/21/01,0.8
02/22/01,0
02/23/01,22
02/24/01,0
02/25/01,0
02/26/01,0
02/27/01,0.5
02/28/01,57
03/01/01,0
03/02/01,0
03/03/01,0
03/04/01,17
03/05/01,0
03/06/01,0
03/07/01,0
03/08/01,0
03/09/01,0
03/10/01,0.1
03/11/01,0.7
03/12/01,0
03/13/01,0
03/14/01,0
03/15/01,3
03/16/01,0.6
03/17/01,0
03/18/01,15
03/19/01,0
03/20/01,0
03/21/01,21
03/22/01,5
03/23/01,0
03/24/01,6
03/25/01,2
03/26/01,2
03/27/01,0.6
03/28/01,0
03/29/01,0
03/30/01,0
03/31/01,0
04/01/01,0
04/02/01,0
04/03/01,0
04/04/01,0
04/05/01,0
04/06/01,0
04/07/01,0
04/08/01,0
04/09/01,0
04/10/01,0
04/11/01,0
04/12/01,0
04/13/01,11
04/14/01,0
04/15/01,0
04/16/01,0
04/17/01,0
04/18/01,5.3
04/19/01,0
04/20/01,2
04/21/01,0
04/22/01,4
04/23/01,0
04/24/01,0
04/25/01,0
04/26/01,0
04/27/01,0
04/28/01,0
04/29/01,0
04/30/01,1
05/01/01,4
05/02/01,2
05/03/01,2
05/04/01,0
05/05/01,0
05/06/01,0
05/07/01,0
05/08/01,10
05/09/01,3
05/10/01,10
05/11/01,0
05/12/01,4
05/13/01,0
05/14/01,0
05/15/01,3
05/16/01,0
05/17/01,0.8
05/18/01,0
05/19/01,0
05/20/01,4
05/21/01,28
05/22/01,0
05/23/01,0
05/24/01,0
05/25/01,53
05/26/01,0
05/27/01,0.3
05/28/01,0
05/29/01,0
05/30/01,4
05/31/01,0
06/01/01,0
06/02/01,2
06/03/01,0
06/04/01,0.7
06/05/01,0
06/06/01,0
06/07/01,0
06/08/01,4
06/09/01,3
06/10/01,0
06/11/01,10
06/12/01,5
06/13/01,59
06/14/01,4
06/15/01,0
06/16/01,57
06/17/01,0.3
06/18/01,0
06/19/01,0
06/20/01,0.2
06/21/01,0
06/22/01,0
06/23/01,0
06/24/01,0
06/25/01,0
06/26/01,0
06/27/01,0
06/28/01,0
06/29/01,0
06/30/01,0
07/01/01,0
07/02/01,0.4
07/03/01,0
07/04/01,0
07/05/01,0
07/06/01,2
07/07/01,0
07/08/01,0
07/09/01,4
07/10/01,0
07/11/01,0.2
07/12/01,0
07/13/01,0
07/14/01,0
07/15/01,0
07/16/01,0
07/17/01,14
07/18/01,0
07/19/01,30
07/20/01,1
07/21/01,4
07/22/01,0.3
07/23/01,0.3
07/24/01,0
07/25/01,0
07/26/01,0.3
07/27/01,0
07/28/01,0
07/29/01,0
07/30/01,0
07/31/01,0
08/01/01,0
08/02/01,0
08/03/01,0.6
08/04/01,0
08/05/01,3
08/06/01,12
08/07/01,0
08/08/01,0
08/09/01,0
08/10/01,0
08/11/01,0.5
08/12/01,0
08/13/01,1
08/14/01,6
08/15/01,0.8
08/16/01,4
08/17/01,25
08/18/01,16
08/19/01,1
08/20/01,0
08/21/01,0
08/22/01,0
08/23/01,0
08/24/01,0
08/25/01,0
08/26/01,42
08/27/01,3
08/28/01,0
08/29/01,0
08/30/01,0
08/31/01,20
09/01/01,0.3
09/02/01,0
09/03/01,0
09/04/01,0
09/05/01,0
09/06/01,0.2
09/07/01,22
09/08/01,0
09/09/01,0
09/10/01,0
09/11/01,0
09/12/01,0
09/13/01,2.7
09/14/01,2
09/15/01,2
09/16/01,0
09/17/01,0
09/18/01,0
09/19/01,0
09/20/01,0
09/21/01,0
09/22/01,0
09/23/01,8
09/24/01,0
09/25/01,0
09/26/01,0
09/27/01,0
09/28/01,0
09/29/01,15
09/30/01,56
10/01/01,47
10/02/01,30
10/03/01,8
10/04/01,2
10/05/01,0
10/06/01,0
10/07/01,0
10/08/01,55
10/09/01,5
10/10/01,7
10/11/01,0
10/12/01,0
10/13/01,0
10/14/01,0
10/15/01,5
10/16/01,0
10/17/01,8
10/18/01,0.5
10/19/01,16
10/20/01,10
10/21/01,20
10/22/01,0
10/23/01,0
10/24/01,0
10/25/01,8
10/26/01,1
10/27/01,0
10/28/01,3
10/29/01,0.8
10/30/01,0
10/31/01,0
11/01/01,0
11/02/01,0
11/03/01,0
11/04/01,0
11/05/01,9
11/06/01,0
11/07/01,0
11/08/01,0
11/09/01,11
11/10/01,4
11/11/01,0
11/12/01,0
11/13/01,4
11/14/01,0
11/15/01,0
11/16/01,0
11/17/01,2
11/18/01,0
11/19/01,0
11/20/01,13
11/21/01,0
11/22/01,0
11/23/01,33
11/24/01,0
11/25/01,0
11/26/01,0
11/27/01,0
11/28/01,8
11/29/01,9
11/30/01,0
12/01/01,0
12/02/01,0
12/03/01,0
12/04/01,0
12/05/01,0
12/06/01,0
12/07/01,16
12/08/01,0
12/09/01,0
12/10/01,0
12/11/01,22
12/12/01,0
12/13/01,0
12/14/01,0
12/15/01,0
12/16/01,0
12/17/01,0
12/18/01,0
12/19/01,0
12/20/01,0.5
12/21/01,0
12/22/01,0
12/23/01,0
12/24/01,0
12/25/01,0
12/26/01,0
12/27/01,0.3
12/28/01,0
12/29/01,4
12/30/01,12
12/31/01,0
01/01/02,0
01/02/02,0
01/03/02,2
01/04/02,0
01/05/02,0
01/06/02,0
01/07/02,0
01/08/02,0
01/09/02,0
01/10/02,0
01/11/02,0
01/12/02,4
01/13/02,0
01/14/02,0
01/15/02,0
01/16/02,0
01/17/02,0
01/18/02,0
01/19/02,0
01/20/02,3
01/21/02,0
01/22/02,0
01/23/02,0
01/24/02,4
01/25/02,2
01/26/02,0
01/27/02,1
01/28/02,2
01/29/02,0
01/30/02,35
01/31/02,0
02/01/02,0
02/02/02,0
02/03/02,0
02/04/02,22
02/05/02,0
02/06/02,0
02/07/02,0
02/08/02,0
02/09/02,0.3
02/10/02,0
02/11/02,0
02/12/02,0
02/13/02,0
02/14/02,8
02/15/02,0
02/16/02,0
02/17/02,0
02/18/02,0
02/19/02,0
02/20/02,0
02/21/02,0
02/22/02,0
02/23/02,0
02/24/02,0
02/25/02,0
02/26/02,67
02/27/02,36
02/28/02,0
03/01/02,0
03/02/02,0
03/03/02,48
03/04/02,0
03/05/02,0
03/06/02,0
03/07/02,41.5
03/08/02,41
03/09/02,0.8
03/10/02,27
03/11/02,0
03/12/02,0
03/13/02,18
03/14/02,48
03/15/02,18
03/16/02,7
03/17/02,0
03/18/02,3
03/19/02,5
03/20/02,1
03/21/02,0
03/22/02,0
03/23/02,0
03/24/02,0
03/25/02,0
03/26/02,0
03/27/02,0
03/28/02,5
03/29/02,79
03/30/02,12
03/31/02,18
04/01/02,6
04/02/02,0
04/03/02,0
04/04/02,0
04/05/02,0
04/06/02,5
04/07/02,0
04/08/02,0.6
04/09/02,0
04/10/02,0
04/11/02,7
04/12/02,0
04/13/02,0
04/14/02,0
04/15/02,0
04/16/02,35
04/17/02,0
04/18/02,0
04/19/02,11
04/20/02,3
04/21/02,0
04/22/02,6
04/23/02,0
04/24/02,0
04/25/02,0
04/26/02,0
04/27/02,0
04/28/02,0
04/29/02,0
04/30/02,0
05/01/02,0
05/02/02,0
05/03/02,0
05/04/02,0
05/05/02,0
05/06/02,0
05/07/02,0
05/08/02,0
05/09/02,0
05/10/02,0
05/11/02,0
05/12/02,9
05/13/02,40
05/14/02,51
05/15/02,0.5
05/16/02,0
05/17/02,63
05/18/02,1
05/19/02,0
05/20/02,0
05/21/02,0
05/22/02,0
05/23/02,0
05/24/02,0
05/25/02,0
05/26/02,25
05/27/02,2
05/28/02,0
05/29/02,0
05/30/02,0
05/31/02,0
06/01/02,0.8
06/02/02,0.8
06/03/02,0.3
06/04/02,0
06/05/02,0
06/06/02,0
06/07/02,0
06/08/02,0
06/09/02,0
06/10/02,0
06/11/02,0
06/12/02,0
06/13/02,0
06/14/02,0
06/15/02,0
06/16/02,0
06/17/02,0
06/18/02,0
06/19/02,0
06/20/02,2
06/21/02,1
06/22/02,0
06/23/02,0
06/24/02,0
06/25/02,0
06/26/02,0
06/27/02,1
06/28/02,6
06/29/02,0
06/30/02,0.1
07/01/02,0.7
07/02/02,16
07/03/02,0
07/04/02,0
07/05/02,0
07/06/02,0
07/07/02,0.8
07/08/02,0
07/09/02,0
07/10/02,0.8
07/11/02,0
07/12/02,0
07/13/02,0
07/14/02,0
07/15/02,0.5
07/16/02,0.5
07/17/02,0
07/18/02,0
07/19/02,0
07/20/02,0.8
07/21/02,16
07/22/02,0
07/23/02,0.4
07/24/02,0
07/25/02,0
07/26/02,0
07/27/02,0
07/28/02,0
07/29/02,0
07/30/02,0.2
07/31/02,1
08/01/02,1
08/02/02,0
08/03/02,0
08/04/02,0
08/05/02,0
08/06/02,0
08/07/02,2
08/08/02,7
08/09/02,0
08/10/02,0
08/11/02,0
08/12/02,0
08/13/02,0
08/14/02,0
08/15/02,0
08/16/02,2
08/17/02,13
08/18/02,38
08/19/02,0
08/20/02,0
08/21/02,0
08/22/02,0
08/23/02,0
08/24/02,0
08/25/02,0.2
08/26/02,0
08/27/02,0
08/28/02,8
08/29/02,0.5
08/30/02,4.5
08/31/02,6
09/01/02,2
09/02/02,0
09/03/02,0
09/04/02,0
09/05/02,4.8
09/06/02,0
09/07/02,0
09/08/02,0
09/09/02,0
09/10/02,0.6
09/11/02,24
09/12/02,0
09/13/02,0
09/14/02,0
09/15/02,0
09/16/02,0
09/17/02,10
09/18/02,58
09/19/02,0
09/20/02,0
09/21/02,12
09/22/02,0
09/23/02,0
09/24/02,0.9
09/25/02,0
09/26/02,0
09/27/02,5
09/28/02,0
09/29/02,0
09/30/02,0
10/01/02,0
10/02/02,4
10/03/02,0
